maturity_days,strike_over_forward,scenario,fee_bps,rebalance_days,contrast,batch,n_paths,difference
63,0.9,kappa_plus20,10,1,Heston_minus_BS,7,512,0.09940664328936148
63,0.9,kappa_plus20,10,1,Adjusted_minus_Heston,0,512,-0.16478430924220783
63,0.9,kappa_plus20,10,1,Adjusted_minus_Heston,1,512,-0.14867941035222215
63,0.9,kappa_plus20,10,1,Adjusted_minus_Heston,2,512,-0.1620589562024311
63,0.9,kappa_plus20,10,1,Adjusted_minus_Heston,3,512,-0.20347481172060497
63,0.9,kappa_plus20,10,1,Adjusted_minus_Heston,4,512,-0.12665957962132118
63,0.9,kappa_plus20,10,1,Adjusted_minus_Heston,5,512,-0.11340968758643033
63,0.9,kappa_plus20,10,1,Adjusted_minus_Heston,6,512,-0.05355796884119521
63,0.9,kappa_plus20,10,1,Adjusted_minus_Heston,7,512,-0.10747449283227745
63,0.9,kappa_plus20,10,5,Heston_minus_BS,0,512,0.15590046181858408
63,0.9,kappa_plus20,10,5,Heston_minus_BS,1,512,0.1303949950407243
63,0.9,kappa_plus20,10,5,Heston_minus_BS,2,512,0.13647631313496938
63,0.9,kappa_plus20,10,5,Heston_minus_BS,3,512,0.18301143524474067
63,0.9,kappa_plus20,10,5,Heston_minus_BS,4,512,0.12286747490200652
63,0.9,kappa_plus20,10,5,Heston_minus_BS,5,512,0.10625334876561274
63,0.9,kappa_plus20,10,5,Heston_minus_BS,6,512,0.059096462646161516
63,0.9,kappa_plus20,10,5,Heston_minus_BS,7,512,0.117961657841659
63,0.9,kappa_plus20,10,5,Adjusted_minus_Heston,0,512,-0.1919552392944332
63,0.9,kappa_plus20,10,5,Adjusted_minus_Heston,1,512,-0.1505111575155743
63,0.9,kappa_plus20,10,5,Adjusted_minus_Heston,2,512,-0.16491397938423713
63,0.9,kappa_plus20,10,5,Adjusted_minus_Heston,3,512,-0.24130401154364434
63,0.9,kappa_plus20,10,5,Adjusted_minus_Heston,4,512,-0.14331286874182422
63,0.9,kappa_plus20,10,5,Adjusted_minus_Heston,5,512,-0.11025628780596003
63,0.9,kappa_plus20,10,5,Adjusted_minus_Heston,6,512,-0.031602430314747576
63,0.9,kappa_plus20,10,5,Adjusted_minus_Heston,7,512,-0.1306205435012237
63,0.9,theta_minus20,0,1,Heston_minus_BS,0,512,0.17722845650653452
63,0.9,theta_minus20,0,1,Heston_minus_BS,1,512,0.15830693619252648
63,0.9,theta_minus20,0,1,Heston_minus_BS,2,512,0.16643694919152646
63,0.9,theta_minus20,0,1,Heston_minus_BS,3,512,0.2009969420620743
63,0.9,theta_minus20,0,1,Heston_minus_BS,4,512,0.15993954750077904
63,0.9,theta_minus20,0,1,Heston_minus_BS,5,512,0.15580368926227436
63,0.9,theta_minus20,0,1,Heston_minus_BS,6,512,0.12031810764513641
63,0.9,theta_minus20,0,1,Heston_minus_BS,7,512,0.1383756401905334
63,0.9,theta_minus20,0,1,Adjusted_minus_Heston,0,512,-0.20697180271375837
63,0.9,theta_minus20,0,1,Adjusted_minus_Heston,1,512,-0.18630079003225283
63,0.9,theta_minus20,0,1,Adjusted_minus_Heston,2,512,-0.2011372381370626
