maturity_days,strike_over_forward,scenario,fee_bps,rebalance_days,strategy,coarse_mse,fine_mse,mse_refinement_shift,mse_refinement_se
63,1.0,kappa_plus20,0,5,Adjusted,1.8591382428235397,1.862090932558864,0.0029526897353242872,0.00478780737120942
63,1.0,kappa_plus20,5,1,BS,1.2446500711241508,1.2511928797048772,0.006542808580726439,0.002677207193953157
63,1.0,kappa_plus20,5,1,Heston,1.543323478320838,1.5515730540756536,0.008249575754815296,0.002911257872305285
63,1.0,kappa_plus20,5,1,Adjusted,1.1809977352193115,1.185581844665244,0.0045841094459325125,0.002685936878502012
63,1.0,kappa_plus20,5,5,BS,1.9052863902685102,1.9086614638260644,0.0033750735575541497,0.004622311666597925
63,1.0,kappa_plus20,5,5,Heston,2.2442434038604464,2.248023864478644,0.00378046061819751,0.004679185162926521
63,1.0,kappa_plus20,5,5,Adjusted,1.8112887663739397,1.8137607688349089,0.002472002460969197,0.004785133497676169
63,1.0,kappa_plus20,10,1,BS,1.2288315907388903,1.2363105103024123,0.0074789195635220265,0.00268860699094163
63,1.0,kappa_plus20,10,1,Heston,1.5059130717539522,1.5152943314047806,0.00938125965082853,0.0029442185349033284
63,1.0,kappa_plus20,10,1,Adjusted,1.1940380093264031,1.1994110219575982,0.00537301263119501,0.002709284166088605
63,1.0,kappa_plus20,10,5,BS,1.8584828108882219,1.8614810130328658,0.002998202144644173,0.00464314198598499
63,1.0,kappa_plus20,10,5,Heston,2.175425107359278,2.178915604498556,0.003490497139277861,0.004701059572300972
63,1.0,kappa_plus20,10,5,Adjusted,1.7892319928978,1.7912541834279874,0.0020221905301874518,0.004819132669454683
63,1.0,theta_minus20,0,1,BS,1.3280799192114279,1.3337919725429406,0.005712053331512562,0.0027687675057309694
63,1.0,theta_minus20,0,1,Heston,1.6871240134718408,1.6945821646960852,0.007458151224244581,0.003012801877795243
63,1.0,theta_minus20,0,1,Adjusted,1.2301390245810426,1.2339879572868595,0.0038489327058169823,0.0027093766516298394
63,1.0,theta_minus20,0,5,BS,1.9785782483766825,1.98236351619523,0.0037852678185474583,0.004641523330873751
63,1.0,theta_minus20,0,5,Heston,2.3897666175439634,2.393671312273356,0.003904694729392186,0.0047247587497056785
63,1.0,theta_minus20,0,5,Adjusted,1.8572515629851922,1.8600298486851887,0.0027782856999968098,0.004783049113824137
63,1.0,theta_minus20,5,1,BS,1.2446500711241508,1.2511928797048772,0.006542808580726439,0.002677207193953157
63,1.0,theta_minus20,5,1,Heston,1.5798014464375036,1.5883783807143967,0.008576934276893008,0.002957059009989822
63,1.0,theta_minus20,5,1,Adjusted,1.1804917591623216,1.185087120614344,0.004595361452022507,0.0026524619315118018
63,1.0,theta_minus20,5,5,BS,1.9052863902685102,1.9086614638260644,0.0033750735575541497,0.004622311666597925
63,1.0,theta_minus20,5,5,Heston,2.2911685705548637,2.2948200374504086,0.003651466895544926,0.00471945940230841
63,1.0,theta_minus20,5,5,Adjusted,1.8111995433578394,1.8135384178118612,0.0023388744540217437,0.004800510146199285
63,1.0,theta_minus20,10,1,BS,1.2288315907388903,1.2363105103024123,0.0074789195635220265,0.00268860699094163
63,1.0,theta_minus20,10,1,Heston,1.5441245788271483,1.5539285794967406,0.009804000669592455,0.003000948301954653
63,1.0,theta_minus20,10,1,Adjusted,1.1997045110092712,1.2051557785214098,0.005451267512138352,0.0026985618919237423
63,1.0,theta_minus20,10,5,BS,1.8584828108882219,1.8614810130328658,0.002998202144644173,0.00464314198598499
63,1.0,theta_minus20,10,5,Heston,2.2206445082070374,2.224075884312856,0.003431376105818389,0.004758409179689227
63,1.0,theta_minus20,10,5,Adjusted,1.7914547077488296,1.7933876961932587,0.0019329884444290219,0.004855627361565704
